Exame,Unidade,Referencia_Texto_Completo,Referencia_Paciente_Especifico,Sexo,Faixa_Etaria,Gestante,Data_Ultima_Atualizacao
Hemograma - Hemacias Em Milhoes,,"mm3 4,30 - 5,70","mm3 4,30 - 5,70",Masculino,Adulto,FALSE,25/10/2025
Hemograma - Hemoglobina,g/dl,"13,0 A 17,5 g/dl","13,0 A 17,5 g/dl",Masculino,Adulto,FALSE,10/08/2026
Hemograma - Hematocrito,%,"39,0 - 50,0","39,0 - 50,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - V.C.M,fL,"81,0 - 95,0","81,0 - 95,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - H.C.M,pg,"26,0 - 34,0","26,0 - 34,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - C.H.C.M,g/dL,"31,0 - 36,0","31,0 - 36,0",Masculino,Adulto,FALSE,25/10/2025
Hemograma - R.D.W,%,"11,8 - 15,6","11,8 - 15,6",Masculino,Adulto,FALSE,25/10/2025
Leucocitos,/mm³,3500 - 10500,3500 - 10500,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Blastos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Blastos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Promielocitos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Promielocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Mielocitos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Mielocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Metamielocitos (Absoluto),/mm³,0,0,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Metamielocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Bastoes (Absoluto),/mm³,até 840,até 840,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Bastoes (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Segmentados (Absoluto),/mm³,1700 - 8000,1700 - 8000,Masculino,Adulto,FALSE,25/10/2025
Leucograma - N. Segmentados (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Eosinofilos (Absoluto),/mm³,50 - 500,50 - 500,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Eosinofilos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Monocitos (Absoluto),/mm³,300 - 900,300 - 900,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Monocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Linfocitos (Absoluto),/mm³,900 - 2900,900 - 2900,Masculino,Adulto,FALSE,25/10/2025
Leucograma - Linfocitos (%),%,,,Masculino,Adulto,FALSE,25/10/2025
